Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Chaffey Joint Union High School District,2.0,1519.0,2177.0,2182.0,0.7039279772294353,0.0,2256.96384422987,34.20066307282499,0.0,8.892172398934497
Chain Lake Elementary School,4.0,604.0,2124.0,1772.875,0.03982864607097016,0.0,1803.3516679176807,2.8748221245982646,0.0,0.7474537523955488
Charles Wright Academy,5.0,940.0,1248.0,2864.4,0.6611007252047302,0.0,2902.3591475616117,155.2232961188532,0.0,40.35805699090184
Charleston Elementary School,1.0,902.0,1086.0,1099.0,0.7835133860584909,0.0,1182.5583633158178,22.705044979787875,0.0,5.903311694744848
Charlie Keyan Armenian Community School,2.0,387.0,1934.0,563.5,0.13763626587410416,0.0,586.8807646116205,1.9470285706333774,0.0,0.5062274283646782
Cheney Kindergarten,1.0,56.0,1746.0,850.0,0.10527325672181198,0.0,917.1641478243994,1.5175394935004343,0.0,0.3945602683101129
Cherry Valley Elem School,1.0,440.0,1871.0,916.62,0.4104699785659339,0.0,988.1704234711395,5.9696655575782165,0.0,1.5521130449703364
Chestnut Hill Academy,18.0,1873.0,1939.0,6609.583333333333,0.9135973940903249,0.0,6632.9302538033335,1095.1138972217948,0.0,284.72961327766666
Chino Valley Unified School District,3.0,134.0,1711.0,1749.3333333333333,0.004738911094589962,0.0,1789.6875320150143,0.3233491504210716,0.0,0.08407077910947862
Chowchilla Elementary School District,27.0,1768.0,2142.0,1964.7037037037037,0.1507388999529035,0.0,1969.5991217518133,72.58091737489327,0.0,18.871038517472254
Christa McAuliffe Elem School,6.0,1783.0,1877.0,676.1666666666666,0.867693192427332,0.0,684.9701351315852,38.777215033395414,0.0,10.082075908682809
Christa McAuliffe Elementary,3.0,1428.0,2026.0,3591.3333333333335,0.6697629022923048,0.0,3670.4136065954385,79.8171204815806,0.0,20.752451325210956
City of Monroe Public Works,4.0,796.0,1120.0,4060.2749999999996,0.6441629755291925,0.0,4126.630687380519,194.11787861671084,0.0,50.47064844034482
City of Mount Vernon,1.0,350.0,1094.0,4008.0,0.5245998022964227,0.0,4283.087571607129,54.68964051885862,0.0,14.219306534903241
Clara Barton Elementary School,1.0,42.0,906.0,52675.0,0.1975545020843481,0.0,56154.33369739373,320.75788292921936,0.0,83.39704956159704
Clark Middle School,1.0,1431.0,2155.0,3225.0,0.7249499523544537,0.0,3448.5346771100176,32.148802945939785,0.0,8.358688765944345
Clovis Unified School District,9.0,1370.0,2185.0,877.1111111111111,0.14924565889999264,0.0,884.3485586815787,10.910701598622504,0.0,2.836782415641851
Coalinga Middle School,7.0,1805.0,2116.0,1544.7142857142858,0.7607818301821445,0.0,1559.981853003026,79.77418459992772,0.0,20.741287995981207
Coalinga-Huron Unified School District,24.0,1783.0,2162.0,14478.197916666666,0.21407359994846906,0.0,14515.998161472142,670.7426335551974,0.0,174.39308472435133
Coeur d'Alene Public Schools,1.0,400.0,409.0,1215.0,0.8185029517410112,0.0,1306.1958291672418,61.43179929331709,0.0,15.972267816262445
Cold Springs Middle School,1.0,39.0,1928.0,1280.0,0.07890240437051223,0.0,1375.4754436529533,1.5522582666436826,0.0,0.4035871493273575
Colina Middle School,2.0,101.0,1949.0,1076.75,0.01628231485906252,0.0,1116.4885129057611,0.4349730925348745,0.0,0.11309300405906737
Colony High School,2.0,93.0,1879.0,269.0,0.01596773500903833,0.0,282.99477947255684,0.1119544651199595,0.0,0.02910816093118947
Colony Middle School,2.0,294.0,2173.0,672.5,0.0665903813516423,0.0,699.3546945951789,1.0042820485152286,0.0,0.26111333261395947
Columbia Basin College,1.0,230.0,282.0,1999.0,0.7881977139969253,0.0,2141.81456388721,129.73334703485435,0.0,33.730670229062135
Columbia Elementary School,6.0,959.0,2033.0,436.8333333333333,0.08692841217060171,0.0,443.14711001578763,2.3294275084066642,0.0,0.6056511521857327
Columbia High School,1.0,100.0,1760.0,667.0,0.1458874951359295,0.0,722.1153870415496,1.6432680737989376,0.0,0.42724969918772376
Columbia School District 400,4.0,1736.0,1911.0,2448.5,0.8283009067622242,0.0,2489.5741858527076,91.28882189324709,0.0,23.735093692244245
Computer Classrooms In Seattle,4.0,1764.0,2144.0,1460.5,0.7597512308226222,0.0,1486.076908931625,44.787385767622,0.0,11.64472029958172
Conejo Elementary School,4.0,255.0,2005.0,438.0,0.002347388674657236,0.0,447.5384821585408,0.04442812494938889,0.0,0.011551312486841112
Construction Industry Training Council,14.0,1406.0,1913.0,4693.46,0.19031411336103152,0.0,4715.014932196663,128.68126047837188,0.0,33.45712772437669
Conway School District 317,2.0,1025.0,1179.0,2046.75,0.8003524905188668,0.0,2117.4033026677025,65.04082115645087,0.0,16.91061350067723
Conyers Adventist Academy,1.0,104.0,562.0,2300.0,0.44353505992322456,0.0,2462.632470967198,48.13228046308248,0.0,12.514392920401445
Copperopolis Elementary School,3.0,295.0,1654.0,655.6666666666666,0.03350078685998328,0.0,673.0276965647122,0.8875997366389808,0.0,0.23077593152613501
Coral Academy Of Science High School,1.0,3.0,1928.0,4076.0,0.050411500584570175,0.0,4355.564706761412,3.1404725210212803,0.0,0.8165228554655329
"Cornerstone General Contractors, INC.",1.0,264.0,1779.0,1275.0,0.29363290107367823,0.0,1370.1462425386678,6.21195624988871,0.0,1.6151086249710647
Cornish College of the Arts,1.0,7.0,647.0,1721.92,0.19532068562724778,0.0,1846.491554937964,14.070874860872225,0.0,3.6584274638267784
Cottonwood Elementary School,2.0,175.0,247.0,8370.0,0.7530563188713333,0.0,8642.181080360688,928.9745425478978,0.0,241.53338106245346
Cougar Creek Elementary School,7.0,1422.0,2045.0,2781.6428571428573,0.4300250106720357,0.0,2807.9231624391773,83.85072870662819,0.0,21.80118946372333
Crossroads Christian School,4.0,799.0,2004.0,1632.75,0.13800887333611112,0.0,1661.0287368158927,9.6991424442702,0.0,2.521777035510252
Curren K-8 School,3.0,731.0,1854.0,271.6666666666667,0.24582070754229884,0.0,280.9545083785653,2.4401098314416956,0.0,0.6344285561748408
Custom Dental and Aesthetics,1.0,15.0,1515.0,1050.0,0.08115576991601291,0.0,1130.33219239582,1.648721507202245,0.0,0.4286675918725837
Cypress Elementary School,2.0,379.0,1774.0,18350.0,0.15776372629424104,0.0,18940.2528348186,78.18807892496754,0.0,20.328900520491562
Cypress School District,2.0,37.0,1038.0,1747.5,0.02513919706320985,0.0,1808.6159306715572,1.962026923493199,0.0,0.5101270001082318
Dallas School District 2,2.0,686.0,1248.0,4570.155,0.5917073064138884,0.0,4721.231534687529,101.71163434406982,0.0,26.445024929458153
Damonte Ranch High School,28.0,2131.0,2141.0,8028.53,0.9612567834626995,0.0,8046.657673268502,1960.6281401497833,0.0,509.76331643894366
Dayton Elementary School,15.0,1679.0,2134.0,2017.6,0.3288525721845133,0.0,2026.646686032618,92.08063664721993,0.0,23.940965528277182
Dayton High School,6.0,1356.0,1527.0,4164.333333333333,0.813891851106235,0.0,4209.422845889611,271.6387454688063,0.0,70.62607382188963
Dayton Intermediate School,11.0,1611.0,1871.0,1729.9363636363635,0.7237122165066087,0.0,1740.6667666241508,146.2377333868564,0.0,38.02181068058267
