Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn
Edward W Van Gorder Elem Sch,14.0,1818.0,2058.0,4417.025,0.742399637975454,0.0
Edwin Dodson Elementary School,6.0,1534.0,1774.0,3307.3333333333335,0.7870869062076121,0.0
El Capitan Middle School,10.0,1089.0,2072.0,1088.3200000000002,0.02157219426191935,0.0
Electrocom Sound And Communication Systems,0.0,0.0,2004.0,0.0,1.0,0.0
Elizabeth Blackwell Elem Sch,3.0,1856.0,1970.0,5165.0,0.8397274308517283,0.0
Elizabeth Lenz Elem School,6.0,1412.0,2141.0,9082.241666666667,0.41202639469997226,0.0
Ella Baker Elementary School,3.0,600.0,945.0,18393.333333333332,0.6113938227467955,0.0
Elm Elementary School,0.0,0.0,755.0,0.0,1.0,0.0
Elmcrest Elementary School,0.0,0.0,1533.0,0.0,1.0,0.0
Emerson Elementary School,2.0,647.0,1858.0,3074.0,0.3373999357004169,0.0
Emerson High School,0.0,0.0,1554.0,0.0,1.0,0.0
Emilie Ritchen Elementary School,1.0,923.0,1822.0,8994.0,0.6486406437538603,0.0
Emily Dickinson Elem School,7.0,1428.0,1773.0,1477.857142857143,0.6820358128112655,0.0
Endeavour Elementary School,3.0,903.0,1968.0,771.6666666666666,0.34047926944237206,0.0
English Crossing Elem School,2.0,513.0,1389.0,9600.0,0.37932781765545753,0.0
Enumclaw High School,1.0,508.0,1564.0,45885.0,0.514833124518093,0.0
Enumclaw School District 216,13.0,1183.0,2173.0,19649.30769230769,0.006519439047491454,0.0
Enumclaw Senior Center,1.0,39.0,749.0,695.0,0.2338347757677766,0.0
Enviromental & Adventure Sch,0.0,0.0,1759.0,0.0,1.0,0.0
Escondido Union School District,0.0,0.0,247.0,0.0,1.0,0.0
Esther Bennett Elem School,22.0,1662.0,1952.0,1901.590909090909,0.423941236496564,0.0
Eugene School District 4J,0.0,0.0,1191.0,0.0,1.0,0.0
Eureka Union School District,1.0,68.0,2043.0,129.0,0.09605817907697753,0.0
Everett School District 2,0.0,0.0,406.0,0.0,1.0,0.0
Evergreen Junior High School,11.0,1608.0,1953.0,1385.0,0.6162253883350384,0.0
Excelsior Elementary School,0.0,0.0,1907.0,0.0,1.0,0.0
Explorer Community Elem School,0.0,0.0,1199.0,0.0,1.0,0.0
Explorer Middle School,4.0,758.0,2018.0,2381.525,0.11186813301418308,0.0
Fairmead Elementary School,0.0,0.0,994.0,0.0,1.0,0.0
Fairmount Elementary School,0.0,0.0,1092.0,0.0,1.0,0.0
Federal Way High School,1.0,8.0,1634.0,38690.0,0.06715521708661838,0.0
Federal Way Public Schools,18.0,1868.0,2172.0,59901.6238888889,0.5756536553484396,0.0
Ferndale School District 502,1.0,1225.0,1564.0,8396.0,0.768636272952466,0.0
Fernley High School,2.0,171.0,808.0,2087.0,0.20992138564748794,0.0
Ferrahian High School,0.0,0.0,1541.0,0.0,1.0,0.0
"Fickle Passion Productions, Inc",0.0,0.0,1737.0,0.0,1.0,0.0
Fidalgo Elementary School,2.0,538.0,947.0,3245.0,0.6169292752806695,0.0
Fife School District 417,3.0,154.0,1899.0,792.6666666666666,0.0045260944229275485,0.0
Finn Hill Junior High School,2.0,743.0,1199.0,1072.5,0.6538567886093172,0.0
"First Choice, LLC",1.0,61.0,2065.0,634.0,0.08925970055109014,0.0
First Creek Middle School,0.0,0.0,2141.0,0.0,1.0,0.0
First Presbyterian Church - Carson City,1.0,209.0,323.0,599.0,0.7434288227559094,0.0
Florence Drake Elementary School,10.0,1914.0,2155.0,1146.5,0.792093853515191,0.0
Forest Ridge School of the Sacred Heart,2.0,157.0,1249.0,2975.55,0.08022475857530645,0.0
Fossil School District 21J,1.0,63.0,1358.0,2100.0,0.1508351633811717,0.0
Fowler Unified School District,5.0,1498.0,2173.0,4114.4,0.5409355816930207,0.0
Frank Augustus Miller Middle,7.0,427.0,2117.0,5916.285714285715,0.00019719869291323958,0.0
Frank D. Parent Elementary School,0.0,0.0,602.0,0.0,1.0,0.0
Frank Intermediate,2.0,235.0,1768.0,7210.5,0.07128768363532802,0.0
Frank Sparkes Elementary,7.0,1063.0,2086.0,785.1428571428571,0.07989795058631209,0.0
Frank Wagner Elementary School,1.0,1047.0,1911.0,12052.5,0.6713788854855266,0.0
Franklin Pierce School District 402,0.0,0.0,1723.0,0.0,1.0,0.0
Fred Traner Middle School,10.0,1387.0,1830.0,2556.96,0.4458163534563886,0.0
